model_id,task_id,item_id,shot,dual_total
Baichuan2-7B-Chat,continuation,CON-084,3,76.2
Baichuan2-7B-Chat,continuation,CON-087,0,20.5
Baichuan2-7B-Chat,continuation,CON-087,1,57.375
Baichuan2-7B-Chat,continuation,CON-087,3,60.7
Baichuan2-7B-Chat,continuation,CON-093,0,39.025
Baichuan2-7B-Chat,continuation,CON-093,1,48.125
Baichuan2-7B-Chat,continuation,CON-093,3,70.05000000000001
Baichuan2-7B-Chat,continuation,CON-100,0,57.3
Baichuan2-7B-Chat,continuation,CON-100,1,80.075
Baichuan2-7B-Chat,continuation,CON-100,3,68.775
Baichuan2-7B-Chat,rewriting,REW-003,0,72.45
Baichuan2-7B-Chat,rewriting,REW-003,1,67.15
Baichuan2-7B-Chat,rewriting,REW-003,3,69.80000000000001
Baichuan2-7B-Chat,rewriting,REW-008,0,59.45
Baichuan2-7B-Chat,rewriting,REW-008,1,59.35
Baichuan2-7B-Chat,rewriting,REW-008,3,66.25
Baichuan2-7B-Chat,rewriting,REW-010,0,48.35
Baichuan2-7B-Chat,rewriting,REW-010,1,56.7
Baichuan2-7B-Chat,rewriting,REW-010,3,59.1
Baichuan2-7B-Chat,rewriting,REW-014,0,67.9
Baichuan2-7B-Chat,rewriting,REW-014,1,69.65
Baichuan2-7B-Chat,rewriting,REW-014,3,69.75
Baichuan2-7B-Chat,rewriting,REW-019,0,64.15
Baichuan2-7B-Chat,rewriting,REW-019,1,61.6
Baichuan2-7B-Chat,rewriting,REW-019,3,66.0
Baichuan2-7B-Chat,rewriting,REW-022,0,59.0
Baichuan2-7B-Chat,rewriting,REW-022,1,68.95
Baichuan2-7B-Chat,rewriting,REW-022,3,71.3
Baichuan2-7B-Chat,rewriting,REW-028,0,61.25
Baichuan2-7B-Chat,rewriting,REW-028,1,51.9
Baichuan2-7B-Chat,rewriting,REW-028,3,60.05
Baichuan2-7B-Chat,rewriting,REW-032,0,63.1
Baichuan2-7B-Chat,rewriting,REW-032,1,54.95
Baichuan2-7B-Chat,rewriting,REW-032,3,55.65
Baichuan2-7B-Chat,rewriting,REW-034,0,66.4
Baichuan2-7B-Chat,rewriting,REW-034,1,64.95
Baichuan2-7B-Chat,rewriting,REW-034,3,72.65
Baichuan2-7B-Chat,rewriting,REW-044,0,54.2
Baichuan2-7B-Chat,rewriting,REW-044,1,42.25
Baichuan2-7B-Chat,rewriting,REW-044,3,59.75
Baichuan2-7B-Chat,rewriting,REW-047,0,72.35
Baichuan2-7B-Chat,rewriting,REW-047,1,53.1
Baichuan2-7B-Chat,rewriting,REW-047,3,67.85
Baichuan2-7B-Chat,rewriting,REW-049,0,46.75
Baichuan2-7B-Chat,rewriting,REW-049,1,73.1
Baichuan2-7B-Chat,rewriting,REW-049,3,62.4
Baichuan2-7B-Chat,rewriting,REW-055,0,49.05
Baichuan2-7B-Chat,rewriting,REW-055,1,68.55
Baichuan2-7B-Chat,rewriting,REW-055,3,61.4
Baichuan2-7B-Chat,rewriting,REW-059,0,64.55
Baichuan2-7B-Chat,rewriting,REW-059,1,59.35
Baichuan2-7B-Chat,rewriting,REW-059,3,68.0
Baichuan2-7B-Chat,rewriting,REW-064,0,56.25
Baichuan2-7B-Chat,rewriting,REW-064,1,45.0
Baichuan2-7B-Chat,rewriting,REW-064,3,55.95
Baichuan2-7B-Chat,rewriting,REW-066,0,68.35
Baichuan2-7B-Chat,rewriting,REW-066,1,66.2
Baichuan2-7B-Chat,rewriting,REW-066,3,73.25
Baichuan2-7B-Chat,rewriting,REW-070,0,55.9
Baichuan2-7B-Chat,rewriting,REW-070,1,56.55
Baichuan2-7B-Chat,rewriting,REW-070,3,69.4
Baichuan2-7B-Chat,rewriting,REW-073,0,67.85
Baichuan2-7B-Chat,rewriting,REW-073,1,49.150000000000006
Baichuan2-7B-Chat,rewriting,REW-073,3,80.1
Baichuan2-7B-Chat,rewriting,REW-077,0,58.650000000000006
Baichuan2-7B-Chat,rewriting,REW-077,1,56.95
Baichuan2-7B-Chat,rewriting,REW-077,3,66.4
Baichuan2-7B-Chat,rewriting,REW-081,0,66.25
Baichuan2-7B-Chat,rewriting,REW-081,1,63.15
Baichuan2-7B-Chat,rewriting,REW-081,3,72.25
Baichuan2-7B-Chat,rewriting,REW-088,0,62.25
Baichuan2-7B-Chat,rewriting,REW-088,1,60.25
Baichuan2-7B-Chat,rewriting,REW-088,3,53.6
Baichuan2-7B-Chat,rewriting,REW-091,0,70.75
Baichuan2-7B-Chat,rewriting,REW-091,1,64.15
Baichuan2-7B-Chat,rewriting,REW-091,3,72.35
Baichuan2-7B-Chat,rewriting,REW-093,0,59.75
Baichuan2-7B-Chat,rewriting,REW-093,1,69.1
Baichuan2-7B-Chat,rewriting,REW-093,3,44.25
Baichuan2-7B-Chat,rewriting,REW-097,0,61.55
Baichuan2-7B-Chat,rewriting,REW-097,1,66.95
Baichuan2-7B-Chat,rewriting,REW-097,3,67.2
Baichuan2-7B-Chat,story_generation,GEN-002,0,62.175
Baichuan2-7B-Chat,story_generation,GEN-002,1,58.225
Baichuan2-7B-Chat,story_generation,GEN-002,3,63.95
Baichuan2-7B-Chat,story_generation,GEN-006,0,59.474999999999994
Baichuan2-7B-Chat,story_generation,GEN-006,1,53.974999999999994
Baichuan2-7B-Chat,story_generation,GEN-006,3,60.15
Baichuan2-7B-Chat,story_generation,GEN-007,0,58.75
Baichuan2-7B-Chat,story_generation,GEN-007,1,48.925
Baichuan2-7B-Chat,story_generation,GEN-007,3,65.225
Baichuan2-7B-Chat,story_generation,GEN-014,0,56.275
Baichuan2-7B-Chat,story_generation,GEN-014,1,64.45
Baichuan2-7B-Chat,story_generation,GEN-014,3,63.725
Baichuan2-7B-Chat,story_generation,GEN-019,0,34.625
Baichuan2-7B-Chat,story_generation,GEN-019,1,65.175
Baichuan2-7B-Chat,story_generation,GEN-019,3,64.4
Baichuan2-7B-Chat,story_generation,GEN-025,0,47.25
Baichuan2-7B-Chat,story_generation,GEN-025,1,63.3
Baichuan2-7B-Chat,story_generation,GEN-025,3,62.8
Baichuan2-7B-Chat,story_generation,GEN-027,0,50.125
Baichuan2-7B-Chat,story_generation,GEN-027,1,51.0
Baichuan2-7B-Chat,story_generation,GEN-027,3,46.45
Baichuan2-7B-Chat,story_generation,GEN-032,0,46.25
Baichuan2-7B-Chat,story_generation,GEN-032,1,61.625
Baichuan2-7B-Chat,story_generation,GEN-032,3,56.375
Baichuan2-7B-Chat,story_generation,GEN-036,0,34.25
Baichuan2-7B-Chat,story_generation,GEN-036,1,39.5
Baichuan2-7B-Chat,story_generation,GEN-036,3,57.0
Baichuan2-7B-Chat,story_generation,GEN-040,0,59.1
Baichuan2-7B-Chat,story_generation,GEN-040,1,63.05
Baichuan2-7B-Chat,story_generation,GEN-040,3,62.525
Baichuan2-7B-Chat,story_generation,GEN-044,0,57.6
Baichuan2-7B-Chat,story_generation,GEN-044,1,58.0
Baichuan2-7B-Chat,story_generation,GEN-044,3,41.6
Baichuan2-7B-Chat,story_generation,GEN-046,0,64.0
Baichuan2-7B-Chat,story_generation,GEN-046,1,59.3
Baichuan2-7B-Chat,story_generation,GEN-046,3,64.95
Baichuan2-7B-Chat,story_generation,GEN-047,0,60.4
Baichuan2-7B-Chat,story_generation,GEN-047,1,49.625
Baichuan2-7B-Chat,story_generation,GEN-047,3,67.925
Baichuan2-7B-Chat,story_generation,GEN-053,0,44.375
Baichuan2-7B-Chat,story_generation,GEN-053,1,55.900000000000006
Baichuan2-7B-Chat,story_generation,GEN-053,3,56.65
Baichuan2-7B-Chat,story_generation,GEN-063,0,60.475
Baichuan2-7B-Chat,story_generation,GEN-063,1,62.125
Baichuan2-7B-Chat,story_generation,GEN-063,3,63.5
Baichuan2-7B-Chat,story_generation,GEN-064,0,57.725
Baichuan2-7B-Chat,story_generation,GEN-064,1,53.0
Baichuan2-7B-Chat,story_generation,GEN-064,3,65.25
Baichuan2-7B-Chat,story_generation,GEN-066,0,61.150000000000006
Baichuan2-7B-Chat,story_generation,GEN-066,1,54.725
Baichuan2-7B-Chat,story_generation,GEN-066,3,60.375
Baichuan2-7B-Chat,story_generation,GEN-073,0,37.425
Baichuan2-7B-Chat,story_generation,GEN-073,1,60.35
Baichuan2-7B-Chat,story_generation,GEN-073,3,56.0
Baichuan2-7B-Chat,story_generation,GEN-080,0,59.45
Baichuan2-7B-Chat,story_generation,GEN-080,1,46.375
Baichuan2-7B-Chat,story_generation,GEN-080,3,70.6
Baichuan2-7B-Chat,story_generation,GEN-081,0,54.25
Baichuan2-7B-Chat,story_generation,GEN-081,1,56.4
Baichuan2-7B-Chat,story_generation,GEN-081,3,60.125
Baichuan2-7B-Chat,story_generation,GEN-084,0,37.625
Baichuan2-7B-Chat,story_generation,GEN-084,1,61.0
Baichuan2-7B-Chat,story_generation,GEN-084,3,78.075
Baichuan2-7B-Chat,story_generation,GEN-087,0,53.65
Baichuan2-7B-Chat,story_generation,GEN-087,1,56.375
Baichuan2-7B-Chat,story_generation,GEN-087,3,58.2
Baichuan2-7B-Chat,story_generation,GEN-093,0,57.975
Baichuan2-7B-Chat,story_generation,GEN-093,1,62.1
Baichuan2-7B-Chat,story_generation,GEN-093,3,63.775
Baichuan2-7B-Chat,story_generation,GEN-100,0,55.75
Baichuan2-7B-Chat,story_generation,GEN-100,1,50.1
Baichuan2-7B-Chat,story_generation,GEN-100,3,57.95
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-002,0,80.475
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-002,1,81.075
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-002,3,79.85
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-006,0,67.3
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-006,1,78.875
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-006,3,83.35
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-007,0,79.55
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-007,1,75.2
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-007,3,79.925
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-014,0,74.7
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-014,1,87.675
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-014,3,78.725
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-019,0,85.475
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-019,1,87.275
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-019,3,87.975
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-025,0,78.975
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-025,1,86.25
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-025,3,81.525
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-027,0,71.5
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-027,1,83.82499999999999
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-027,3,87.15
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-032,0,69.9
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-032,1,81.725
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-032,3,86.225
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-036,0,75.42500000000001
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-036,1,76.3
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-036,3,76.19999999999999
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-040,0,82.94999999999999
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-040,1,81.475
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-040,3,82.95
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-044,0,51.5
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-044,1,66.1
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-044,3,79.19999999999999
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-046,0,71.325
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-046,1,83.375
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-046,3,82.325
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-047,0,87.725
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-047,1,88.725
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-047,3,83.95
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-053,0,51.125
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-053,1,82.125
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-053,3,90.975
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-063,0,83.775
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-063,1,77.675
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-063,3,79.65
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-064,0,73.575
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-064,1,69.45
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-064,3,73.925
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-066,0,76.375
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-066,1,84.05
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-066,3,82.525
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-073,0,52.2
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-073,1,77.925
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-073,3,85.05000000000001
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-080,0,83.825
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-080,1,83.475
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-080,3,80.275
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-081,0,83.9
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-081,1,79.825
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-081,3,81.425
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-084,0,77.775
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-084,1,83.725
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-084,3,85.425
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-087,0,59.525
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-087,1,82.35
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-087,3,85.625
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-093,0,83.7
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-093,1,67.3
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-093,3,87.94999999999999
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-100,0,46.2
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-100,1,84.925
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-100,3,85.275
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-003,0,84.05000000000001
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-003,1,80.05000000000001
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-003,3,76.65
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-008,0,78.4
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-008,1,83.4
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-008,3,76.2
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-010,0,77.8
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-010,1,71.15
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-010,3,63.85
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-014,0,77.4
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-014,1,85.5
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-014,3,83.1
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-019,0,60.75
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-019,1,70.25
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-019,3,79.55000000000001
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-022,0,73.15
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-022,1,75.95
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-022,3,72.0
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-028,0,64.75
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-028,1,70.85
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-028,3,73.45
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-032,0,71.9
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-032,1,67.95
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-032,3,61.95
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-034,0,78.05
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-034,1,83.9
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-034,3,77.65
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-044,0,74.2
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-044,1,77.94999999999999
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-044,3,80.25
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-047,0,61.75
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-047,1,60.15
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-047,3,62.8
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-049,0,76.05
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-049,1,76.15
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-049,3,76.65
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-055,0,59.7
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-055,1,65.75
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-055,3,62.65
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-059,0,73.15
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-059,1,70.6
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-059,3,75.55
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-064,0,60.5
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-064,1,79.2
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-064,3,84.6
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-066,0,76.4
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-066,1,77.9
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-066,3,84.0
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-070,0,74.7
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-070,1,56.55
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-070,3,79.85
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-073,0,74.3
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-073,1,77.15
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-073,3,85.3
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-077,0,68.65
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-077,1,76.05000000000001
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-077,3,81.4
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-081,0,72.95
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-081,1,71.1
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-081,3,69.35
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-088,0,70.8
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-088,1,74.45
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-088,3,80.45
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-091,0,78.35
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-091,1,72.25
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-091,3,77.4
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-093,0,71.85
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-093,1,85.2
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-093,3,78.15
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-097,0,83.6
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-097,1,70.75
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-097,3,86.85
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-002,0,77.825
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-002,1,73.775
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-002,3,81.75
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-006,0,69.375
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-006,1,77.55
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-006,3,83.025
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-007,0,82.175
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-007,1,75.85
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-007,3,74.925
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-014,0,78.45
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-014,1,83.42500000000001
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-014,3,74.2
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-019,0,78.35
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-019,1,78.1
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-019,3,75.675
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-025,0,66.275
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-025,1,83.94999999999999
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-025,3,64.875
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-027,0,51.625
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-027,1,48.125
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-027,3,70.875
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-032,0,77.275
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-032,1,70.55
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-032,3,81.07499999999999
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-036,0,80.25
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-036,1,58.75
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-036,3,78.0
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-040,0,76.95
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-040,1,80.30000000000001
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-040,3,83.775
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-044,0,74.225
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-044,1,77.0
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-044,3,71.0
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-046,0,76.825
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-046,1,80.82499999999999
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-046,3,88.025
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-047,0,74.225
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-047,1,83.75
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-047,3,84.475
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-053,0,76.35
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-053,1,76.375
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-053,3,83.35
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-063,0,84.2
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-063,1,81.675
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-063,3,86.175
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-064,0,75.375
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-064,1,79.625
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-064,3,73.30000000000001
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-066,0,75.75
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-066,1,74.6
