model_id,task_id,item_id,shot,gpt_total,kimi_total,dual_total,primary_configuration,gpt_family_value,gpt_context_fit,gpt_coherence,gpt_clarity,kimi_family_value,kimi_context_fit,kimi_coherence,kimi_clarity,gpt_plot_logic,gpt_characterization,gpt_emotion,kimi_plot_logic,kimi_characterization,kimi_emotion,gpt_content_fidelity,gpt_style_fit,gpt_value_expression,kimi_content_fidelity,kimi_style_fit,kimi_value_expression
deepseek-llm-7b-chat,continuation,CON-014,0,47.45,48.75,48.1,True,55,62,55,12,55.0,45.0,50.0,40.0,,,,,,,,,,,,
Qwen3-8B-Thinking,rewriting,REW-015,0,83.4,70.5,76.95,False,,,,86,,,,70.0,,,,,,,88,80,86,65.0,75.0,60.0
deepseek-llm-7b-chat,continuation,CON-016,0,48.75,42.75,45.75,True,60,65,60,0,45.0,55.0,40.0,35.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-032,0,68.45,59.5,63.975,True,75,78,55,75,55.0,70.0,50.0,75.0,,,,,,,,,,,,
internlm2_5-7b-chat,rewriting,REW-063,0,82.8,52.5,67.65,True,,,,86,,,,70.0,,,,,,,82,82,82,55.0,45.0,50.0
deepseek-llm-7b-chat,story_generation,GEN-014,0,68.5,65.3,66.9,True,75,,,,72.0,,,,60,65,70,58.0,65.0,60.0,,,,,,
glm-4-9b-chat,story_generation,GEN-016,0,79.4,69.3,74.35,True,84,,,,72.0,,,,80,72,76,68.0,65.0,70.0,,,,,,
deepseek-llm-7b-chat,continuation,CON-053,0,17.75,34.25,26.0,True,20,25,20,5,35.0,55.0,30.0,25.0,,,,,,,,,,,,
internlm2_5-7b-chat,story_generation,GEN-021,0,74.75,51.0,62.875,True,78,,,,55.0,,,,75,70,72,50.0,45.0,50.0,,,,,,
Mistral-7B-Instruct-v0.3,continuation,CON-008,0,43.25,39.0,41.125,True,55,55,50,5,45.0,55.0,35.0,25.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-044,0,77.1,49.5,63.3,True,82,,,,55.0,,,,78,70,72,50.0,45.0,40.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-011,0,44.0,33.5,38.75,True,55,60,50,5,35.0,50.0,30.0,25.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-098,0,19.75,32.25,26.0,True,15,,,,35.0,,,,20,25,25,25.0,30.0,40.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-042,0,79.5,79.15,79.325,True,82,,,,82.0,,,,80,72,82,75.0,78.0,80.0,,,,,,
Qwen3-8B-Thinking,rewriting,REW-070,0,84.8,75.4,80.1,False,,,,88,,,,75.0,,,,,,,88,82,86,72.0,78.0,70.0
glm-4-9b-chat,rewriting,REW-080,0,70.4,63.0,66.7,True,,,,80,,,,70.0,,,,,,,86,58,82,75.0,55.0,65.0
Mistral-7B-Instruct-v0.3,continuation,CON-071,0,24.5,47.25,35.875,True,25,55,25,0,55.0,60.0,45.0,30.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,story_generation,GEN-032,0,39.0,39.25,39.125,True,45,,,,45.0,,,,35,35,35,35.0,40.0,30.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-083,0,54.5,48.0,51.25,True,65,75,65,5,55.0,65.0,45.0,30.0,,,,,,,,,,,,
internlm2_5-7b-chat,rewriting,REW-028,0,71.6,68.0,69.8,True,,,,82,,,,80.0,,,,,,,82,62,78,85.0,55.0,75.0
deepseek-llm-7b-chat,rewriting,REW-100,0,70.8,61.5,66.15,True,,,,78,,,,75.0,,,,,,,85,60,82,85.0,45.0,70.0
Doubao,story_generation,GEN-006,0,88.2,77.8,83.0,True,90,,,,82.0,,,,88,88,84,78.0,75.0,70.0,,,,,,
Mistral-7B-Instruct-v0.3,story_generation,GEN-091,0,55.5,49.5,52.5,True,60,,,,55.0,,,,55,55,45,50.0,45.0,40.0,,,,,,
glm-4-9b-chat,story_generation,GEN-011,0,68.25,49.5,58.875,True,72,,,,55.0,,,,65,65,68,50.0,45.0,40.0,,,,,,
QwQ-32B,rewriting,REW-100,0,88.0,79.3,83.65,True,,,,86,,,,70.0,,,,,,,90,88,88,75.0,85.0,78.0
Baichuan2-7B-Chat,continuation,CON-081,0,33.0,32.75,32.875,True,35,65,25,20,35.0,45.0,30.0,25.0,,,,,,,,,,,,
chatglm3-6b,rewriting,REW-041,0,54.0,45.0,49.5,True,,,,65,,,,55.0,,,,,,,45,55,45,45.0,40.0,50.0
internlm2_5-7b-chat,continuation,CON-025,0,59.45,53.25,56.35,True,70,78,65,20,55.0,75.0,50.0,40.0,,,,,,,,,,,,
Baichuan2-7B-Chat,rewriting,REW-020,0,59.2,57.5,58.35,True,,,,70,,,,70.0,,,,,,,76,45,75,75.0,45.0,60.0
Mistral-7B-Instruct-v0.3,story_generation,GEN-030,0,63.5,54.85,59.175,True,68,,,,58.0,,,,60,60,62,55.0,52.0,50.0,,,,,,
Qwen3-8B-NonThinking,continuation,CON-049,0,44.5,50.75,47.625,True,50,65,45,20,55.0,70.0,45.0,40.0,,,,,,,,,,,,
Qwen3-8B-Thinking,rewriting,REW-014,0,74.1,63.0,68.55,False,,,,82,,,,70.0,,,,,,,84,65,84,75.0,55.0,65.0
QwQ-32B,rewriting,REW-057,0,66.6,58.0,62.3,True,,,,78,,,,75.0,,,,,,,70,60,70,25.0,65.0,55.0
Doubao,continuation,CON-022,0,87.15,86.45,86.80000000000001,True,88,85,88,86,88.0,82.0,85.0,90.0,,,,,,,,,,,,
internlm2_5-7b-chat,continuation,CON-089,0,64.9,57.25,61.075,True,76,84,70,25,65.0,70.0,55.0,40.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-095,0,51.75,61.5,56.625,True,35,70,45,75,55.0,70.0,50.0,85.0,,,,,,,,,,,,
Doubao,story_generation,GEN-094,0,86.0,85.95,85.975,True,88,,,,88.0,,,,84,86,84,85.0,86.0,82.0,,,,,,
Doubao,rewriting,REW-084,0,84.0,75.4,79.7,True,,,,84,,,,75.0,,,,,,,88,82,86,72.0,78.0,70.0
Qwen3-8B-NonThinking,continuation,CON-018,0,45.75,66.25,56.0,True,55,60,55,5,65.0,75.0,70.0,55.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-015,0,53.0,59.5,56.25,True,58,45,55,48,55.0,70.0,50.0,75.0,,,,,,,,,,,,
glm-4-9b-chat,continuation,CON-093,0,43.25,56.0,49.625,True,45,45,40,45,55.0,65.0,45.0,70.0,,,,,,,,,,,,
Baichuan2-7B-Chat,story_generation,GEN-065,0,70.05,62.1,66.075,True,78,,,,65.0,,,,68,68,55,62.0,58.0,60.0,,,,,,
Qwen3-8B-NonThinking,continuation,CON-059,0,55.5,72.0,63.75,True,65,78,58,20,75.0,80.0,70.0,65.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-050,0,79.4,77.2,78.30000000000001,True,,,,84,,,,85.0,,,,,,,82,76,82,72.0,78.0,68.0
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-080,0,83.2,63.0,73.1,True,,,,82,,,,70.0,,,,,,,82,84,84,75.0,55.0,65.0
Qwen3-8B-NonThinking,rewriting,REW-048,0,82.0,61.5,71.75,True,,,,84,,,,60.0,,,,,,,88,78,86,75.0,55.0,70.0
Qwen3-8B-NonThinking,story_generation,GEN-047,0,69.25,72.1,70.675,True,74,,,,75.0,,,,67,62,70,70.0,72.0,68.0,,,,,,
internlm2_5-7b-chat,story_generation,GEN-049,0,67.75,51.0,59.375,True,75,,,,55.0,,,,60,65,65,50.0,45.0,50.0,,,,,,
Qwen3-8B-Thinking,story_generation,GEN-013,0,87.9,85.45,86.67500000000001,False,90,,,,88.0,,,,86,86,88,85.0,82.0,84.0,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-010,0,60.0,67.75,63.875,True,64,68,60,48,65.0,75.0,60.0,80.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-091,0,88.5,79.55,84.025,True,90,,,,82.0,,,,88,88,86,78.0,80.0,75.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-054,0,78.2,67.5,72.85,True,,,,86,,,,70.0,,,,,,,88,70,84,75.0,65.0,60.0
deepseek-llm-7b-chat,story_generation,GEN-024,0,74.5,41.0,57.75,True,80,,,,45.0,,,,72,70,70,40.0,35.0,40.0,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-085,0,86.4,75.8,81.1,True,,,,88,,,,85.0,,,,,,,86,86,86,75.0,72.0,78.0
Qwen3-8B-Thinking,story_generation,GEN-048,0,82.7,75.6,79.15,False,85,,,,78.0,,,,78,80,88,72.0,75.0,76.0,,,,,,
deepseek-llm-7b-chat,story_generation,GEN-073,0,85.65,59.3,72.475,True,90,,,,62.0,,,,85,82,80,58.0,55.0,60.0,,,,,,
Mistral-7B-Instruct-v0.3,story_generation,GEN-043,0,41.25,31.5,36.375,True,40,,,,35.0,,,,35,45,50,25.0,30.0,35.0,,,,,,
chatglm3-6b,rewriting,REW-084,0,48.5,55.0,51.75,True,,,,65,,,,60.0,,,,,,,60,35,60,75.0,45.0,55.0
Mistral-7B-Instruct-v0.3,story_generation,GEN-033,0,48.75,29.25,39.0,True,50,,,,35.0,,,,48,50,45,25.0,30.0,20.0,,,,,,
glm-4-9b-chat,story_generation,GEN-088,0,72.9,49.5,61.2,True,78,,,,55.0,,,,70,70,68,50.0,45.0,40.0,,,,,,
Baichuan2-7B-Chat,rewriting,REW-036,0,63.7,52.5,58.1,True,,,,80,,,,70.0,,,,,,,86,45,80,75.0,35.0,60.0
chatglm3-6b,continuation,CON-025,0,30.75,17.75,24.25,True,35,45,30,15,25.0,20.0,15.0,10.0,,,,,,,,,,,,
deepseek-llm-7b-chat,rewriting,REW-026,0,70.4,60.5,65.45,True,,,,82,,,,70.0,,,,,,,82,60,76,65.0,55.0,60.0
chatglm3-6b,story_generation,GEN-019,0,60.25,36.5,48.375,True,70,,,,45.0,,,,58,55,45,35.0,30.0,25.0,,,,,,
Mistral-7B-Instruct-v0.3,story_generation,GEN-020,0,24.0,27.25,25.625,True,25,,,,35.0,,,,25,20,25,25.0,20.0,20.0,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-030,0,79.65,54.7,67.17500000000001,True,82,,,,58.0,,,,80,78,75,52.0,55.0,50.0,,,,,,
QwQ-32B,story_generation,GEN-056,0,85.65,84.7,85.17500000000001,True,88,,,,88.0,,,,82,86,85,82.0,85.0,80.0,,,,,,
Mistral-7B-Instruct-v0.3,rewriting,REW-043,0,21.5,15.5,18.5,True,,,,25,,,,30.0,,,,,,,10,25,20,5.0,15.0,10.0
Mistral-7B-Instruct-v0.3,story_generation,GEN-019,0,75.55,49.5,62.525,True,80,,,,55.0,,,,75,70,72,50.0,45.0,40.0,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-034,0,61.65,62.25,61.95,True,60,82,45,78,55.0,75.0,50.0,85.0,,,,,,,,,,,,
chatglm3-6b,continuation,CON-034,0,22.5,32.0,27.25,True,25,35,25,5,35.0,40.0,30.0,25.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-024,0,63.25,72.0,67.625,True,78,75,76,10,75.0,80.0,70.0,65.0,,,,,,,,,,,,
Doubao,story_generation,GEN-037,0,84.6,81.3,82.94999999999999,True,86,,,,82.0,,,,82,84,86,78.0,85.0,80.0,,,,,,
QwQ-32B,continuation,CON-028,0,86.5,80.15,83.325,True,88,88,86,84,82.0,75.0,78.0,85.0,,,,,,,,,,,,
deepseek-llm-7b-chat,continuation,CON-071,0,25.75,23.5,24.625,True,30,35,30,5,25.0,40.0,20.0,15.0,,,,,,,,,,,,
Qwen3-8B-NonThinking,story_generation,GEN-068,0,53.0,71.75,62.375,True,50,,,,72.0,,,,45,60,65,75.0,70.0,68.0,,,,,,
glm-4-9b-chat,continuation,CON-089,0,56.0,59.5,57.75,True,60,65,55,45,55.0,70.0,50.0,75.0,,,,,,,,,,,,
internlm2_5-7b-chat,story_generation,GEN-065,0,81.9,69.3,75.6,True,86,,,,72.0,,,,82,78,76,68.0,65.0,70.0,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-082,0,60.7,63.0,61.85,True,,,,75,,,,70.0,,,,,,,78,45,76,75.0,55.0,65.0
Baichuan2-7B-Chat,rewriting,REW-088,0,69.5,55.5,62.5,True,,,,82,,,,75.0,,,,,,,86,55,84,85.0,35.0,60.0
Baichuan2-7B-Chat,story_generation,GEN-078,0,51.5,49.5,50.5,True,60,,,,55.0,,,,50,45,40,50.0,45.0,40.0,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-069,0,84.0,73.6,78.8,True,,,,88,,,,78.0,,,,,,,86,82,82,75.0,72.0,70.0
internlm2_5-7b-chat,continuation,CON-084,0,45.5,56.0,50.75,True,55,70,50,5,55.0,70.0,60.0,40.0,,,,,,,,,,,,
QwQ-32B,rewriting,REW-066,0,80.8,78.7,79.75,True,,,,84,,,,80.0,,,,,,,84,78,82,85.0,75.0,82.0
deepseek-llm-7b-chat,rewriting,REW-098,0,46.4,63.0,54.7,True,,,,65,,,,70.0,,,,,,,62,30,60,75.0,55.0,65.0
glm-4-9b-chat,rewriting,REW-005,0,79.6,74.5,77.05,True,,,,80,,,,78.0,,,,,,,82,78,82,72.0,75.0,70.0
Mistral-7B-Instruct-v0.3,story_generation,GEN-006,0,20.75,27.25,24.0,True,20,,,,35.0,,,,20,20,25,25.0,20.0,20.0,,,,,,
chatglm3-6b,rewriting,REW-033,0,51.0,51.9,51.45,True,,,,60,,,,65.0,,,,,,,45,50,50,52.0,48.0,45.0
Baichuan2-7B-Chat,continuation,CON-065,0,48.0,50.75,49.375,True,60,65,55,5,55.0,65.0,50.0,35.0,,,,,,,,,,,,
Baichuan2-7B-Chat,continuation,CON-027,0,44.75,40.75,42.75,True,55,60,55,0,45.0,55.0,40.0,25.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,story_generation,GEN-050,0,57.0,39.5,48.25,True,65,,,,45.0,,,,50,55,50,40.0,35.0,30.0,,,,,,
chatglm3-6b,story_generation,GEN-010,0,78.25,49.5,63.875,True,82,,,,55.0,,,,75,75,78,50.0,45.0,40.0,,,,,,
glm-4-9b-chat,rewriting,REW-045,0,74.2,59.8,67.0,True,,,,75,,,,65.0,,,,,,,65,78,72,55.0,60.0,58.0
chatglm3-6b,rewriting,REW-024,0,35.5,32.5,34.0,True,,,,45,,,,40.0,,,,,,,50,25,40,45.0,25.0,30.0
QwQ-32B,continuation,CON-014,0,89.3,77.15,83.225,True,90,90,88,90,82.0,55.0,78.0,85.0,,,,,,,,,,,,
chatglm3-6b,rewriting,REW-040,0,32.0,37.5,34.75,True,,,,45,,,,55.0,,,,,,,45,20,40,45.0,25.0,50.0
internlm2_5-7b-chat,story_generation,GEN-028,0,56.75,51.0,53.875,True,55,,,,55.0,,,,55,60,60,50.0,45.0,50.0,,,,,,
chatglm3-6b,rewriting,REW-100,0,69.1,52.5,60.8,True,,,,82,,,,75.0,,,,,,,86,55,80,70.0,35.0,60.0
Baichuan2-7B-Chat,continuation,CON-052,0,51.3,29.25,40.275,True,66,70,60,0,35.0,40.0,25.0,20.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,rewriting,REW-024,0,43.5,51.5,47.5,True,,,,45,,,,55.0,,,,,,,45,40,55,65.0,45.0,50.0
Qwen3-8B-NonThinking,continuation,CON-087,0,42.3,52.0,47.15,True,50,62,40,20,55.0,60.0,50.0,45.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-021,0,46.25,57.75,52.0,True,45,60,45,40,55.0,65.0,50.0,70.0,,,,,,,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-012,0,80.8,55.5,68.15,True,,,,90,,,,80.0,,,,,,,94,70,90,75.0,35.0,70.0
internlm2_5-7b-chat,continuation,CON-022,0,59.95,53.25,56.6,True,75,75,72,5,55.0,75.0,50.0,40.0,,,,,,,,,,,,
Qwen3-8B-Thinking,continuation,CON-013,0,38.5,45.25,41.875,False,45,55,45,5,55.0,40.0,45.0,35.0,,,,,,,,,,,,
glm-4-9b-chat,story_generation,GEN-038,0,54.25,49.5,51.875,True,65,,,,55.0,,,,50,45,45,50.0,45.0,40.0,,,,,,
Qwen3-8B-Thinking,story_generation,GEN-010,0,44.25,51.5,47.875,False,55,,,,55.0,,,,35,45,30,45.0,50.0,55.0,,,,,,
Doubao,rewriting,REW-063,0,88.4,82.0,85.2,True,,,,88,,,,82.0,,,,,,,90,88,88,78.0,85.0,75.0
Qwen3-8B-Thinking,story_generation,GEN-032,0,85.9,69.25,77.575,False,88,,,,72.0,,,,84,84,86,65.0,70.0,68.0,,,,,,
chatglm3-6b,story_generation,GEN-011,0,74.9,49.5,62.2,True,80,,,,55.0,,,,78,72,60,50.0,45.0,40.0,,,,,,
Doubao,continuation,CON-089,0,91.0,90.95,90.975,True,92,90,90,92,92.0,90.0,91.0,90.0,,,,,,,,,,,,
Doubao,story_generation,GEN-049,0,88.0,90.15,89.075,True,90,,,,92.0,,,,86,85,90,88.0,90.0,89.0,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-062,0,61.75,58.75,60.25,True,60,75,50,75,55.0,65.0,50.0,75.0,,,,,,,,,,,,
internlm2_5-7b-chat,story_generation,GEN-034,0,54.5,53.0,53.75,True,55,,,,55.0,,,,55,60,45,50.0,55.0,50.0,,,,,,
internlm2_5-7b-chat,rewriting,REW-047,0,70.3,49.5,59.9,True,,,,82,,,,60.0,,,,,,,78,62,73,55.0,45.0,40.0
Qwen3-8B-Thinking,story_generation,GEN-039,0,84.5,87.35,85.925,False,86,,,,88.0,,,,82,82,88,85.0,90.0,86.0,,,,,,
Qwen3-8B-Thinking,continuation,CON-002,0,43.25,48.75,46.0,False,50,65,50,5,55.0,45.0,50.0,40.0,,,,,,,,,,,,
chatglm3-6b,rewriting,REW-025,0,50.4,54.5,52.45,True,,,,62,,,,65.0,,,,,,,55,45,45,45.0,55.0,50.0
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-032,0,78.35,71.75,75.05,True,82,85,80,65,75.0,85.0,70.0,60.0,,,,,,,,,,,,
QwQ-32B,continuation,CON-001,0,60.0,85.85,72.925,True,50,75,45,90,88.0,85.0,82.0,90.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-047,0,62.7,70.0,66.35,True,75,80,72,15,75.0,80.0,70.0,55.0,,,,,,,,,,,,
glm-4-9b-chat,story_generation,GEN-084,0,67.4,49.5,58.45,True,72,,,,55.0,,,,60,70,64,50.0,45.0,40.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-063,0,54.9,47.0,50.95,True,62,78,56,25,55.0,65.0,45.0,25.0,,,,,,,,,,,,
internlm2_5-7b-chat,story_generation,GEN-011,0,83.9,69.55,76.725,True,86,,,,72.0,,,,82,82,84,68.0,70.0,65.0,,,,,,
QwQ-32B,story_generation,GEN-100,0,70.8,81.3,76.05,True,65,,,,82.0,,,,70,75,82,78.0,85.0,80.0,,,,,,
Doubao,story_generation,GEN-050,0,87.5,85.0,86.25,True,90,,,,85.0,,,,86,84,88,82.0,88.0,86.0,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-083,0,87.5,77.65,82.575,True,90,,,,82.0,,,,88,86,82,75.0,78.0,70.0,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-027,0,60.75,51.65,56.2,True,50,,,,52.0,,,,68,70,65,55.0,48.0,50.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-051,0,24.25,32.75,28.5,True,25,35,30,5,35.0,45.0,30.0,25.0,,,,,,,,,,,,
glm-4-9b-chat,continuation,CON-096,0,64.8,65.75,65.275,True,70,82,50,70,65.0,75.0,60.0,70.0,,,,,,,,,,,,
Doubao,story_generation,GEN-041,0,80.4,82.2,81.30000000000001,True,82,,,,85.0,,,,78,82,78,82.0,80.0,78.0,,,,,,
Qwen3-8B-Thinking,continuation,CON-055,0,40.8,62.0,51.4,False,35,82,40,20,65.0,70.0,60.0,55.0,,,,,,,,,,,,
QwQ-32B,continuation,CON-018,0,79.4,83.65,81.525,True,75,80,78,88,82.0,78.0,85.0,88.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-027,0,56.75,61.25,59.0,True,55,75,40,75,55.0,75.0,50.0,80.0,,,,,,,,,,,,
QwQ-32B,rewriting,REW-062,0,85.2,79.6,82.4,True,,,,86,,,,78.0,,,,,,,86,84,88,75.0,82.0,80.0
Qwen3-8B-NonThinking,rewriting,REW-073,0,84.4,75.0,79.7,True,,,,86,,,,85.0,,,,,,,84,84,84,75.0,70.0,80.0
chatglm3-6b,story_generation,GEN-093,0,71.35,51.0,61.175,True,75,,,,55.0,,,,72,68,65,50.0,45.0,50.0,,,,,,
Doubao,rewriting,REW-098,0,85.6,78.7,82.15,True,,,,86,,,,80.0,,,,,,,88,84,88,85.0,75.0,82.0
Mistral-7B-Instruct-v0.3,continuation,CON-005,0,55.25,37.75,46.5,True,70,65,70,0,45.0,35.0,40.0,25.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-091,0,31.75,61.25,46.5,True,20,60,25,40,55.0,75.0,50.0,80.0,,,,,,,,,,,,
glm-4-9b-chat,story_generation,GEN-090,0,79.8,53.75,66.775,True,84,,,,55.0,,,,82,76,70,60.0,50.0,45.0,,,,,,
Doubao,continuation,CON-079,0,87.5,87.55,87.525,True,90,88,86,86,85.0,88.0,87.0,92.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,story_generation,GEN-031,0,70.4,46.5,58.45,True,80,,,,55.0,,,,68,62,60,45.0,40.0,35.0,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-005,0,77.6,70.4,74.0,True,,,,82,,,,75.0,,,,,,,84,72,84,72.0,68.0,70.0
deepseek-llm-7b-chat,rewriting,REW-010,0,51.5,42.0,46.75,True,,,,70,,,,50.0,,,,,,,75,30,75,45.0,35.0,55.0
Qwen2.5-7B-Instruct,story_generation,GEN-021,0,76.45,49.5,62.975,True,82,,,,55.0,,,,78,72,65,50.0,45.0,40.0,,,,,,
chatglm3-6b,rewriting,REW-090,0,62.7,59.7,61.2,True,,,,80,,,,70.0,,,,,,,82,45,78,62.0,55.0,58.0
Qwen2.5-7B-Instruct,story_generation,GEN-018,0,68.8,67.8,68.3,True,75,,,,72.0,,,,70,60,62,68.0,65.0,60.0,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-072,0,71.1,76.0,73.55,True,78,84,58,74,75.0,80.0,70.0,85.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-019,0,39.75,43.25,41.5,True,35,60,35,40,35.0,55.0,30.0,70.0,,,,,,,,,,,,
glm-4-9b-chat,story_generation,GEN-099,0,55.5,41.0,48.25,True,50,,,,45.0,,,,55,60,65,40.0,35.0,40.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-070,0,61.9,53.25,57.575,True,78,75,75,5,55.0,75.0,50.0,40.0,,,,,,,,,,,,
chatglm3-6b,story_generation,GEN-031,0,42.75,39.25,41.0,True,35,,,,45.0,,,,45,50,50,35.0,40.0,30.0,,,,,,
Mistral-7B-Instruct-v0.3,story_generation,GEN-014,0,21.75,30.0,25.875,True,15,,,,35.0,,,,10,40,35,25.0,30.0,25.0,,,,,,
QwQ-32B,continuation,CON-048,0,48.5,67.75,58.125,True,60,60,50,20,75.0,65.0,70.0,55.0,,,,,,,,,,,,
Doubao,rewriting,REW-045,0,82.8,75.0,78.9,True,,,,86,,,,85.0,,,,,,,86,80,84,75.0,70.0,80.0
Mistral-7B-Instruct-v0.3,story_generation,GEN-099,0,59.5,31.0,45.25,True,60,,,,35.0,,,,55,60,65,30.0,25.0,30.0,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-042,0,74.2,75.0,74.6,True,,,,88,,,,75.0,,,,,,,90,60,86,85.0,70.0,80.0
Baichuan2-7B-Chat,story_generation,GEN-100,0,60.75,41.0,50.875,True,65,,,,45.0,,,,62,55,55,40.0,35.0,40.0,,,,,,
glm-4-9b-chat,rewriting,REW-082,0,60.1,56.0,58.05,True,,,,76,,,,60.0,,,,,,,78,45,68,75.0,45.0,65.0
