job_id,model,setting,repeat_index,seed,tasks,task_count,expected_responses,generation_policy
robustness__Baichuan2-7B-Chat__T07_R5_r5,Baichuan2-7B-Chat,T07_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen2.5-7B-Instruct__BASE_R5_r1,Qwen2.5-7B-Instruct,BASE_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen2.5-7B-Instruct__BASE_R5_r2,Qwen2.5-7B-Instruct,BASE_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen2.5-7B-Instruct__BASE_R5_r3,Qwen2.5-7B-Instruct,BASE_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen2.5-7B-Instruct__BASE_R5_r4,Qwen2.5-7B-Instruct,BASE_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen2.5-7B-Instruct__BASE_R5_r5,Qwen2.5-7B-Instruct,BASE_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen2.5-7B-Instruct__T02_R5_r1,Qwen2.5-7B-Instruct,T02_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen2.5-7B-Instruct__T02_R5_r2,Qwen2.5-7B-Instruct,T02_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen2.5-7B-Instruct__T02_R5_r3,Qwen2.5-7B-Instruct,T02_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen2.5-7B-Instruct__T02_R5_r4,Qwen2.5-7B-Instruct,T02_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen2.5-7B-Instruct__T02_R5_r5,Qwen2.5-7B-Instruct,T02_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen2.5-7B-Instruct__T07_R5_r1,Qwen2.5-7B-Instruct,T07_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen2.5-7B-Instruct__T07_R5_r2,Qwen2.5-7B-Instruct,T07_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen2.5-7B-Instruct__T07_R5_r3,Qwen2.5-7B-Instruct,T07_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen2.5-7B-Instruct__T07_R5_r4,Qwen2.5-7B-Instruct,T07_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen2.5-7B-Instruct__T07_R5_r5,Qwen2.5-7B-Instruct,T07_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen3-8B-NonThinking__BASE_R5_r1,Qwen3-8B-NonThinking,BASE_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen3-8B-NonThinking__BASE_R5_r2,Qwen3-8B-NonThinking,BASE_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen3-8B-NonThinking__BASE_R5_r3,Qwen3-8B-NonThinking,BASE_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen3-8B-NonThinking__BASE_R5_r4,Qwen3-8B-NonThinking,BASE_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen3-8B-NonThinking__BASE_R5_r5,Qwen3-8B-NonThinking,BASE_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen3-8B-NonThinking__T02_R5_r1,Qwen3-8B-NonThinking,T02_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen3-8B-NonThinking__T02_R5_r2,Qwen3-8B-NonThinking,T02_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen3-8B-NonThinking__T02_R5_r3,Qwen3-8B-NonThinking,T02_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen3-8B-NonThinking__T02_R5_r4,Qwen3-8B-NonThinking,T02_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen3-8B-NonThinking__T02_R5_r5,Qwen3-8B-NonThinking,T02_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen3-8B-NonThinking__T07_R5_r1,Qwen3-8B-NonThinking,T07_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen3-8B-NonThinking__T07_R5_r2,Qwen3-8B-NonThinking,T07_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen3-8B-NonThinking__T07_R5_r3,Qwen3-8B-NonThinking,T07_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen3-8B-NonThinking__T07_R5_r4,Qwen3-8B-NonThinking,T07_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen3-8B-NonThinking__T07_R5_r5,Qwen3-8B-NonThinking,T07_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen3-8B-Thinking__BASE_R5_r1,Qwen3-8B-Thinking,BASE_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen3-8B-Thinking__BASE_R5_r2,Qwen3-8B-Thinking,BASE_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen3-8B-Thinking__BASE_R5_r3,Qwen3-8B-Thinking,BASE_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen3-8B-Thinking__BASE_R5_r4,Qwen3-8B-Thinking,BASE_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen3-8B-Thinking__BASE_R5_r5,Qwen3-8B-Thinking,BASE_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Qwen3-8B-Thinking__T02_R5_r1,Qwen3-8B-Thinking,T02_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen3-8B-Thinking__T02_R5_r2,Qwen3-8B-Thinking,T02_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen3-8B-Thinking__T02_R5_r3,Qwen3-8B-Thinking,T02_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen3-8B-Thinking__T02_R5_r4,Qwen3-8B-Thinking,T02_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen3-8B-Thinking__T02_R5_r5,Qwen3-8B-Thinking,T02_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Qwen3-8B-Thinking__T07_R5_r1,Qwen3-8B-Thinking,T07_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen3-8B-Thinking__T07_R5_r2,Qwen3-8B-Thinking,T07_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen3-8B-Thinking__T07_R5_r3,Qwen3-8B-Thinking,T07_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen3-8B-Thinking__T07_R5_r4,Qwen3-8B-Thinking,T07_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Qwen3-8B-Thinking__T07_R5_r5,Qwen3-8B-Thinking,T07_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__QwQ-32B__BASE_R5_r1,QwQ-32B,BASE_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__QwQ-32B__BASE_R5_r2,QwQ-32B,BASE_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__QwQ-32B__BASE_R5_r3,QwQ-32B,BASE_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__QwQ-32B__BASE_R5_r4,QwQ-32B,BASE_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__QwQ-32B__BASE_R5_r5,QwQ-32B,BASE_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__QwQ-32B__T02_R5_r1,QwQ-32B,T02_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__QwQ-32B__T02_R5_r2,QwQ-32B,T02_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__QwQ-32B__T02_R5_r3,QwQ-32B,T02_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__QwQ-32B__T02_R5_r4,QwQ-32B,T02_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__QwQ-32B__T02_R5_r5,QwQ-32B,T02_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__QwQ-32B__T07_R5_r1,QwQ-32B,T07_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__QwQ-32B__T07_R5_r2,QwQ-32B,T07_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__QwQ-32B__T07_R5_r3,QwQ-32B,T07_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__QwQ-32B__T07_R5_r4,QwQ-32B,T07_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__QwQ-32B__T07_R5_r5,QwQ-32B,T07_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
